Attempt,BASE-ESTATION,BASE-ESTATION-2,SENDER-UAV
1,-,10.73,8.41
2,-,20.36,14.95
3,-,10.82,16.68
4,-,5.06,16.86
5,-,23.53,8.98
6,-,1.65,6.01
7,-,0.58,13.98
8,-,8.89,5.83
9,-,13.65,17.41
10,-,6.35,0.97
11,-,12.14,6.45
12,-,19.46,2.74
13,-,1.46,21.99
14,-,6.98,8.35
15,-,11.89,24.06
16,-,9.2,13.1
17,-,12.69,13.95
18,-,7.68,6.93
19,-,5.48,10.22
20,-,21.82,11.65
21,-,2.61,12.25
22,-,17.24,6.04
23,-,14.88,2.84
24,-,24.94,10.74
25,-,24.04,9.8
26,-,8.11,7.6
27,-,16.81,14.27
28,-,1.21,16.52
29,-,23.58,20.26
30,-,0.26,4.27
