Attempt, ROUTER_01, ROUTER_02, ROUTER_03
1,-,23.4,21.76
2,-,22.49,19.32
3,-,10.48,8.66
4,-,15.07,8.12
5,-,20.5,10.02
6,-,13.09,18.49
7,-,10.72,15.66
8,-,5.45,21.68
9,-,17.71,4.79
10,-,9.38,12.28
11,-,11.39,6.12
12,-,12.57,7.41
13,-,15.91,3.85
14,-,8.18,13.28
15,-,9.51,8.06
16,-,16.49,20.02
17,-,10.43,22.06
18,-,8.54,16.47
19,-,12.03,5.31
20,-,3.26,17.57
21,-,7.47,3.42
22,-,2.21,11.02
23,-,1.24,2.07
24,-,0.2,9.57
25,-,8.51,19.29
26,-,12.84,6.8
27,-,13.06,5.57
28,-,17.64,19.71
29,-,5.1,22.29
30,-,3.3,16.22
31,-,4.52,22.73
