Attempt, ROUTER_01, ROUTER_02, ROUTER_03
1,-,9.46,17.13
2,-,10.05,2.18
3,-,20.36,9.84
4,-,7.73,12.54
5,-,4.97,1.62
6,-,7.27,2.57
7,-,8.73,10.03
8,-,19.79,13.05
9,-,12.23,1.7
10,-,13.18,6.77
11,-,6.43,20.26
12,-,15.85,16.57
13,-,8.17,19.58
14,-,4.81,0.27
15,-,23.26,20.85
16,-,7.88,4.44
17,-,8.86,7.73
18,-,5.69,9.59
19,-,22.54,17.29
20,-,2.26,13.19
21,-,9.1,0.21
22,-,17.4,1.3
23,-,14.53,8.16
24,-,5.96,16.92
25,-,5.08,11.77
26,-,0.8,22.05
27,-,11.99,0.89
28,-,14.56,4.14
29,-,17.28,5.4
30,-,14.88,10.2
31,-,-,-
