Attempt,BASE-ESTATION-2,BASE-ESTATION,RELAY-UAV,SENDER-UAV
1,-,4.58,20.75,5.86
2,-,17.15,18.17,19.83
3,-,19.92,1.83,19.0
4,-,7.47,11.37,9.63
5,-,1.63,8.32,15.73
6,-,24.14,13.82,21.24
7,-,22.87,22.9,7.36
8,-,17.81,8.46,17.35
9,-,18.65,9.81,13.69
10,-,15.34,16.78,24.65
11,-,15.74,14.33,21.96
12,-,9.58,23.76,3.24
13,-,2.03,8.5,4.46
14,-,22.34,20.56,15.14
15,-,9.79,19.34,10.76
16,-,18.95,10.17,7.39
17,-,1.81,13.72,23.79
18,-,15.9,9.94,13.55
19,-,24.67,6.18,15.1
20,-,7.95,14.89,17.84
21,-,10.06,14.96,20.37
22,-,20.87,10.12,0.34
23,-,0.34,23.55,6.21
24,-,23.75,2.52,24.43
25,-,3.21,21.63,6.11
26,-,12.13,18.67,9.81
27,-,21.36,6.31,11.36
28,-,10.75,13.59,19.63
29,-,7.68,19.62,9.02
30,-,9.79,15.07,5.94
31,-,14.8,20.77,8.39
